1004
1,ugonin0,4,2254,Hugonin,14/4/2017,6
2,gkeady1,1,310,Keady,5/2/2017,4
3,ssegot2,1,1526,Segot,5/9/2016,48
4,zallsepp3,4,1195,Allsepp,29/1/2017,29
5,lromagosa4,3,2416,Romagosa,20/5/2017,34
6,pslingsby5,4,2365,Slingsby,17/3/2017,15
7,spepineaux6,2,602,Pepineaux,2/3/2017,18
8,oleland7,2,1137,Le land,14/10/2016,51
9,trenwick8,1,2242,Renwick,17/6/2017,3
10,ihairesnape9,1,2107,Hairesnape,11/5/2017,53
11,mstratforda,5,1179,Stratford,22/6/2016,42
12,barringtonb,3,1356,Arrington,13/4/2017,36
13,dfalkusc,2,1819,Falkus,22/5/2017,41
14,gbulmand,3,1483,Bulman,8/8/2016,18
15,mtomowicze,5,1269,Tomowicz,18/12/2016,4
16,jcastellettif,2,1956,Castelletti,30/12/2016,32
17,sdunthorng,1,358,Dunthorn,25/12/2016,10
18,vkidbyh,2,1067,Kidby,4/1/2017,32
19,cantognonii,4,318,Antognoni,17/8/2016,44
20,bstrettellj,3,2500,Strettell,27/5/2017,18
21,canchork,5,1651,Anchor,6/8/2016,38
22,thatchl,3,1168,Hatch,21/9/2016,24
23,gbrittanm,3,2038,Brittan,7/2/2017,35
24,tdecopemann,3,1764,de Copeman,24/9/2016,2
25,irustedgeo,3,565,Rustedge,6/4/2017,11
26,slockp,4,2450,Lock,31/5/2017,6
27,gmerringq,5,692,Merring,20/5/2017,19
28,orahillr,2,2093,Rahill,13/10/2016,52
29,iscroggess,3,2239,Scrogges,13/2/2017,1
30,htrouchert,4,809,Troucher,20/6/2016,14
31,ggrinsdaleu,4,836,Grinsdale,17/11/2016,48
32,cshearav,5,2133,Sheara,26/3/2017,37
33,lrudsdellw,2,1818,Rudsdell,18/12/2016,16
34,dcancottx,2,2490,Cancott,17/1/2017,50
35,jdoxseyy,5,861,Doxsey,3/6/2017,10
36,dmcclayz,4,509,McClay,14/11/2016,22
37,kseago10,2,498,Seago,26/8/2016,30
38,pscalera11,4,1885,Scalera,13/11/2016,52
39,dbussy12,1,2404,Bussy,3/7/2016,28
40,vfedorski13,2,2333,Fedorski,21/10/2016,13
41,omohan14,4,1136,Mohan,27/1/2017,54
42,bbrimilcome15,1,1345,Brimilcome,4/8/2016,53
43,scooling16,2,528,Cooling,1/8/2016,33
44,dwickham17,2,1760,Wickham,27/5/2017,33
45,mtink18,5,949,Tink,9/4/2017,39
46,pdudson19,5,2151,Dudson,14/6/2017,20
47,qgreenslade1a,2,2120,Greenslade,8/8/2016,31
48,kcasterot1b,4,2298,Casterot,13/4/2017,28
49,mmchardy1c,1,1921,McHardy,6/4/2017,52
50,mcutmore1d,3,1042,Cutmore,2/1/2017,38
51,spurslow1e,3,1382,Purslow,12/10/2016,4
52,scopin1f,5,1503,Copin,18/1/2017,33
53,vkunzelmann1g,5,548,Kunzelmann,28/5/2017,10
54,oegre1h,2,726,Egre,18/4/2017,54
55,czavattieri1i,4,1052,Zavattieri,19/1/2017,8
56,dwyld1j,5,848,Wyld,26/12/2016,51
57,ckeohane1k,3,2221,Keohane,4/12/2016,39
58,ediviney1l,1,2489,Diviney,24/10/2016,10
59,apawels1m,1,642,Pawels,2/5/2017,36
60,mgilson1n,4,1396,Gilson,26/3/2017,12
61,rmosedill1o,2,1657,Mosedill,21/9/2016,4
62,jscholefield1p,2,1954,Scholefield,25/1/2017,42
63,rfewell1q,4,2294,Fewell,13/12/2016,7
64,aschankelborg1r,2,562,Schankelborg,1/2/2017,53
